delta,theta,alpha,beta,gamma,deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,PFD,HFD,hjorth_mobility,hjorth_complexity,spec_entropy,svd_entropy,fisher_info,approx_entropy,Hurst
2870.023754216033,1712.8459369565217,3066.911915121939,5614.430759671807,11486.229422026561,0.11595848586461849,0.06920466113810832,0.12391342107718596,0.22684163813170907,0.46408179378837816,0.6441838137198849,0.05194836692010702,0.005343408805399616,63.71231184765614,0.6399327695730247,1.967232845712638,1.967232845712638,0.19088852241895823,0.9031683781006887
4955.885822589071,2106.8834678139974,1920.3574253537304,8118.011137302556,15532.540982364919,0.1518641476979112,0.06456162905933083,0.058845876220034316,0.24876175249020197,0.47596659453252166,0.639632106805599,0.05465761464409411,0.005734040780285649,69.39068266228558,0.606378885928365,1.9934822132290138,1.9934822132290138,0.21986390504607056,0.7958337667682324
4827.161149708394,3515.5025027257075,3592.4506381711913,6834.938131204505,14935.895850563997,0.14321392505265465,0.10429917219113216,0.1065820967011823,0.20278136297997543,0.44312344307505563,0.639632106805599,0.058669714846964316,0.004888692741972149,82.58041836385681,0.6687274208403767,1.9481085042685558,1.9481085042685558,0.19223084114521152,0.8717955998918016
6346.895868429155,2455.929049358024,2490.3228984000607,6676.054486318968,13380.427103307,0.20245521203042485,0.07833997070799878,0.07943707615051668,0.2129548135928209,0.4268129275182388,0.6480307986965479,0.0488272188202961,0.005147972895591608,100.96513574032863,0.6545430808695665,1.9174651941960497,1.9174651941960497,0.19057774367313804,0.7429114402849757
10565.760946280721,1174.52085729802,2647.950456881069,6728.802207732427,13908.523543603997,0.3016586043460688,0.03353325183006232,0.0756005216530531,0.1921112064928769,0.39709641567793874,0.6401179497704479,0.05498573520414922,0.003784003009963593,95.00276575381592,0.6135825876777212,1.8026418280372527,1.8026418280372527,0.20321837171998164,0.9212696618173476
9289.440834634233,2134.676892946172,3066.7912666622046,7350.377732098907,14224.20764561818,0.25757142655048737,0.05918889869996753,0.08503394505099539,0.20380637670708596,0.39439935299146367,0.6426203946153349,0.05003730966319485,0.0033635800566810536,102.11348236125122,0.6526925034123909,1.7521591619507515,1.7521591619507515,0.22639979888114214,0.8053657848215884
6553.834849933043,3605.0984079829,3241.9549663841212,6630.660825196687,13501.708701448544,0.19544283166905524,0.10750814712839145,0.09667879543533855,0.19773386989248815,0.40263635587472657,0.6359070643214358,0.05478878615857644,0.004396687051553621,102.76410300134407,0.6866941608693221,1.868350376958027,1.868350376958027,0.17768771994591442,0.783926793655162
8475.953630044572,5009.284259726666,3182.969371718186,7080.9845194847485,13648.486868454589,0.2266438435791533,0.13394639562215668,0.08511141564576241,0.18934288905637486,0.36495545609655283,0.6474631323727743,0.05167303530615779,0.003578916034000934,116.40942510590433,0.7024189637091919,1.7788468389186856,1.7788468389186856,0.18216652335001224,0.9315699951313614
5451.665823185567,3963.513729111499,3227.989548287423,8945.653540713189,16916.685790074738,0.141581452765439,0.1029336811946163,0.08383189002790607,0.2323213977723952,0.4393315782396433,0.6426203946153349,0.05051521700824694,0.004928598560812186,70.60684556316448,0.6572049123016777,1.9591450939580681,1.9591450939580681,0.2025234544497559,0.6846296273182496
24172.020200696083,1980.003759558827,3212.0639901364966,7222.088404252109,4031.462209183779,0.5951114110858939,0.04874738733142778,0.07908052027911473,0.17780670318642944,0.09925397811713417,0.686622061693755,0.010840135894273186,0.0009511864263566123,729.9316093600776,0.5988863105972105,0.8459627415729104,0.8459627415729104,0.12299317916952651,0.8817896276641866
7269.185944715735,3187.330529634196,3299.518874407811,7161.363651444004,20913.32665936033,0.1737762333810739,0.07619591769873123,0.07887787798043076,0.1711986473705122,0.499951323569252,0.6406085558192915,0.06191775958315259,0.006797789722387628,85.96574188313632,0.6230501808264467,2.0394319447091043,2.0394319447091043,0.23404631581217122,0.8059705145655249
4900.022339866182,2927.0431091068726,3202.4852105407344,6408.383983412421,13676.525737790831,0.15748376413762058,0.09407340102613145,0.10292594412228506,0.20596159808009945,0.43955529263386356,0.6426203946153349,0.04873856792378009,0.005044064197731329,71.64958568390783,0.6666413199289303,1.9369509702259813,1.9369509702259813,0.20973746322940195,0.6789292444717997
5635.862465466715,2573.0753991502534,3702.168970731739,7151.309031192146,12926.499990257082,0.17618172778021932,0.08043646776492587,0.11573286782537191,0.22355584238008577,0.4040930942493971,0.6474631323727743,0.04675687922699655,0.0047400516400603505,70.01526745741786,0.6791805164556518,1.9130889475142692,1.9130889475142692,0.1840420809075186,0.9760638639807006
6376.932758587949,1670.252290886794,2454.6623292379554,8272.39202642937,11065.00717428157,0.2137095768022948,0.05597501553670447,0.08226287894717241,0.2772319336016277,0.3708205951122006,0.6452535881295922,0.049807652875515446,0.00439763409844912,108.12807799938307,0.6538251492775993,1.8751083034020228,1.8751083034020228,0.1894549629268232,0.9068397602568717
6620.350028545801,2459.6108692543744,2768.5833326847983,5569.132107900876,9888.141008038656,0.2424520000465281,0.09007644188231714,0.10139170337075898,0.2039540526198573,0.3621258020805385,0.639632106805599,0.06065492510170103,0.003261641566275563,116.07887540262904,0.6938357819076972,1.7430377958979637,1.7430377958979637,0.17246944334955183,0.9001862063853875
13247.071720786838,2007.7398112020926,2479.6122933779548,7114.170381221769,2514.599200832125,0.48412009240099474,0.07337373899705735,0.09061852746710092,0.2599905016675589,0.09189713946728807,0.7026562606076221,0.008549099589901887,0.0014990807361224855,376.17964006070497,0.6901025931517021,1.101049223422729,1.101049223422729,0.12830426683156687,0.908321444931573
14083.181122458438,3541.566248146183,4739.110074297523,6627.651185196531,14238.757533377096,0.3257713257929692,0.08192330425988374,0.10962481832465526,0.1533104413499095,0.32937011027258223,0.6406085558192915,0.05719847044035572,0.0028843734586988827,134.17311977918106,0.6835864828995015,1.6835703639757478,1.6835703639757478,0.18206884529880688,0.9775232746263477
5827.16587049933,3791.110081119559,2539.831069675126,5328.012347507867,11136.755919248235,0.20358422457062295,0.1324503580778387,0.08873430932829765,0.18614525249083835,0.3890858555324022,0.6436572808543757,0.06015152346369483,0.003946545521298731,96.16035747860853,0.6956909787932088,1.8605811272962878,1.8605811272962878,0.19339991556827973,0.9784687046228203
9239.358031770327,2404.4302628143478,3320.872197376498,6969.355542428497,12031.0056591979,0.2720256773312962,0.07079136543782312,0.09777329828714529,0.20519214164801422,0.35421751729572115,0.6411040123456083,0.06360433556206739,0.003782769071300518,112.49882488162324,0.679686963246757,1.8359706704811232,1.8359706704811232,0.21490103268670832,0.8635078539936315
25179.78237364659,2024.610459560412,3398.1674775875795,6437.820785207983,13641.902244269162,0.4968162583479924,0.039947104315871916,0.06704842902938872,0.12702310079412985,0.2691651075126171,0.639632106805599,0.0562020929164889,0.0015037214707263914,274.27015559852447,0.5712947237792111,1.2562806397781876,1.2562806397781876,0.17105878642596462,1.1050289178718191
13615.659964019775,3524.690413711848,3437.1696279121275,6736.034542253496,4879.44025472858,0.42293859417233254,0.10948625424014159,0.106767625969106,0.20923913986728784,0.15156838575113205,0.6902338621909068,0.011314192439735509,0.0012197738238798447,223.21656023479756,0.7283831220654539,1.1254527063072384,1.1254527063072384,0.08521740074839781,1.0207851684130789
12743.357383630047,1278.3532701323431,1799.2217792227518,6968.279816545097,18066.29829863363,0.3119128169652199,0.031289616822321044,0.04403865610984545,0.1705591173149167,0.44219979278769694,0.6447158798612393,0.05584638602020281,0.003818798946156914,107.35519036877798,0.5660190402120246,1.7842317201072173,1.7842317201072173,0.20680013737260794,0.981215714794479
33393.9230947807,3974.4489122524665,5401.973042736933,12042.578424528248,21079.810845113363,0.4400147575950398,0.05236929395013099,0.07117905411078627,0.15867893722005505,0.2777579571239879,0.6368124572878892,0.0698437937554315,0.001900432009275803,223.1394634333752,0.6187818568822665,1.392013954990358,1.392013954990358,0.1695567099166455,0.9512412253976775
16646.032276443264,2227.220234576416,2840.556154541962,7097.597508437475,15477.112248335266,0.37585434937576934,0.05028888556030912,0.06413752944847868,0.16025818341347375,0.3494610522019691,0.6386743718665095,0.05674497786148569,0.0027590743404447074,146.09608785899673,0.6137247726269944,1.6222791299009218,1.6222791299009218,0.15727230658098362,1.0788958828773583
1454.2805920225337,620.5253879204349,3186.925691840692,7626.579700091779,15573.722428968142,0.05109545586933533,0.02180186392379463,0.11197111612404294,0.2679562449211109,0.5471753191617162,0.6431361754494215,0.053015919336230566,0.007066219774120356,54.4605852970338,0.5178280124666715,2.071271199759954,2.071271199759954,0.21558470026775284,0.5790738346077234
5484.877661378268,2325.3304199696927,2196.203165779479,8168.298299633398,15430.151660610813,0.1632167925804464,0.0691962512691349,0.06535373415848877,0.24306894913886978,0.45916427285306016,0.6401179497704479,0.05723325219452844,0.005496086443046134,71.63459150265159,0.6230432281983356,1.9950332782832794,1.9950332782832794,0.2023019007502497,0.8710430720904668
18925.197955376105,2302.947421655492,3346.4529828955933,7825.92890600346,15127.346832057594,0.39819155210599183,0.04845466929380228,0.07041032333986177,0.1646597718607977,0.31828368339954644,0.6431361754494215,0.04998170592899278,0.0023916763159325016,150.6150067795025,0.6195922785027272,1.5596189561763447,1.5596189561763447,0.16357539232662655,0.9805896216394514
16152.912924756629,2008.839491747073,3574.713036561999,5670.36609518638,15024.303035683835,0.3806853878206686,0.04734352525439193,0.0842474063353318,0.1336369189932794,0.35408676159632824,0.639632106805599,0.05597864564515797,0.002836361527138075,128.61191876626216,0.6147870686739375,1.6428003382746108,1.6428003382746108,0.18969248549122247,1.0105790384433608
5938.767402526846,2556.7810383008623,3173.4151139744745,6853.901481026459,13415.770644177783,0.18594305223389715,0.08005291972760772,0.09935975806133232,0.21459593796353046,0.42004833201363234,0.6441838137198849,0.052731194704839446,0.004662214548113082,84.40353138884161,0.6677107864529448,1.9149634149934116,1.9149634149934116,0.20910626621360354,0.9592085413917024
9562.911593543407,4930.19267655412,2788.7741831175217,7536.877018786664,15698.275065874559,0.23602202497549205,0.12168198436815995,0.0688296784363432,0.18601750717494003,0.38744880504506474,0.6368124572878892,0.06028485361335628,0.0038520917519875176,98.36939972402963,0.679828591796544,1.8514702562568188,1.8514702562568188,0.20077952457097328,0.8183954939521714
6138.730773401556,5811.714274201679,4569.820543841789,9218.846477431647,17652.97454316577,0.14147120483710268,0.13393488831645115,0.10531460689363449,0.21245455559339654,0.4068247443594153,0.6359070643214358,0.06691584068633302,0.004329080070199994,92.99829518327265,0.6909696032168489,1.9180823176014352,1.9180823176014352,0.20627144230557318,0.8925732624319396
8267.176625236832,1901.29156808613,4504.879005406507,8806.068425260757,14157.92032349239,0.2196536077041283,0.05051610376300553,0.11969176064141217,0.23397161896762128,0.37616690892383275,0.6497725315895624,0.043377973926992525,0.003917843638237863,107.31909366314642,0.6696041922792892,1.8150278779996278,1.8150278779996278,0.19812280732228993,0.7301611558150006
6380.617675180029,3541.9283991827897,3822.646955416185,7148.863092985354,14741.078576768188,0.17905411973267296,0.09939427559478967,0.10727185368170727,0.2006127703252131,0.4136669806656171,0.6386743718665095,0.06239475255894934,0.004630200782891484,86.72798695134345,0.6829622706896054,1.9532066714590122,1.9532066714590122,0.21953115607167192,0.8285680355234146
8208.669938311818,2670.8932983041814,4358.769895150066,9545.155835836345,14895.639480269447,0.20687626617343405,0.06731229749194331,0.10985044444401962,0.2405586062298777,0.37540238566072526,0.6447158798612393,0.04762146822868175,0.004033128139267233,81.039629983583,0.6790961857095329,1.8475906875700332,1.8475906875700332,0.20241910583466813,0.9195905617476241
18727.63917544033,2212.2800008769987,1833.5651861345784,7547.189485666295,14597.424722520196,0.4169285827179252,0.04925141694050021,0.0408201870622619,0.16802112568940447,0.3249786875899081,0.6377346960435631,0.06366426814381192,0.0026258827147073224,156.15959197806367,0.5861009076698649,1.6093254876738865,1.6093254876738865,0.17095866170565838,1.0030402962913016
3093.866600374754,1029.3014981236574,3480.501974674431,4885.228446697054,1975.8465428705588,0.21389015754893625,0.07115932521859797,0.2406196555540968,0.33773346336264504,0.1365973983157239,0.7074555262422632,0.007936237753358936,0.00250229091434044,108.19032758236857,0.7625795135198015,1.4032345467875427,1.4032345467875427,0.12570093209032523,0.8077992866639386
17759.271463951434,3355.282503353097,2332.028854791113,7691.297755738417,16969.058397771438,0.3691623670538873,0.06974633129442145,0.04847593516547913,0.15987917584277372,0.35273619064343836,0.6401179497704479,0.059046357112004025,0.0026638987056887644,136.17680826152002,0.6172577100680094,1.6124125941660963,1.6124125941660963,0.15174605250409062,1.085854295292455
26397.50638873324,1681.1493960626096,2603.2574675602605,7028.61605575775,14289.685487430483,0.5076422567199688,0.03232966253452206,0.05006243681484411,0.1351651350555575,0.27480050887510754,0.6441838137198849,0.04632100982534019,0.0017364397061407247,281.6951111099304,0.5439973110678,1.289717154875986,1.289717154875986,0.174425016927243,1.1078198273397626
18529.719266111628,3362.955658263447,3044.2417059781387,6362.757763396976,13577.585804441476,0.41289773895016624,0.07493674175766545,0.06783483868074475,0.14178133280189337,0.3025493478095302,0.6382023161889588,0.05774382271132298,0.002051888658118794,235.07537710790942,0.6330704542387942,1.419526732925834,1.419526732925834,0.18923505245435962,1.0020235236660295
6351.168207924223,3317.3349077175335,4156.959226871067,10937.27227449334,14432.884829149221,0.16203770466363163,0.08463534840352993,0.10605672995120413,0.2790432305711692,0.36822698641046514,0.6457970505274119,0.05018130615100276,0.004590940732942597,84.7043549481933,0.6822451141668084,1.9158412377086758,1.9158412377086758,0.19499023537695798,0.7719567291515612
4523.342389800719,2264.090522729062,2492.8467935529993,7652.098254850342,12702.688145685237,0.15263480005501073,0.07639903736281613,0.08411814519274094,0.2582109392744499,0.42863707811498225,0.6421098382826886,0.056364461553145555,0.005391097331057205,93.28347332363717,0.6469587383041332,1.9645652385805168,1.9645652385805168,0.2043798955088535,0.8390426162814627
4836.369875641841,3129.4317768164574,3850.818248691148,7086.723433262215,12816.888177600174,0.1524695642215096,0.09865728046882011,0.12139943705117404,0.22341335783058866,0.4040603604279076,0.6441838137198849,0.05401722297076577,0.004521826755826491,89.41870791579626,0.6872533617856661,1.9059485278365158,1.9059485278365158,0.208904513352231,0.7810467186218799
7681.874755733789,1629.618643565535,2573.1297735162834,6176.159933689474,13705.141139114525,0.24182752235811583,0.05130084146033474,0.08100283037950981,0.19442720715236678,0.4314415986496728,0.6363576908888365,0.059299176531483325,0.004780334158980576,77.03104876771145,0.6322968589458094,1.9158736442624364,1.9158736442624364,0.19556936356470805,0.9832499929778943
9503.591149062302,2219.8408486483077,2448.6498148507408,8926.614002273749,24353.888293627075,0.20027552403342214,0.04678018890550673,0.05160203307903889,0.18811649923785445,0.5132257547441778,0.6416044091016299,0.06000991633570908,0.006355405963204371,97.09847390430359,0.5794281244001946,1.9752956387159852,1.9752956387159852,0.22516235226474954,0.6684104517528127
12185.14114826849,3481.8118746788714,2603.871554924029,10972.053336735496,35872.54434852972,0.18713141564263172,0.053471385943081075,0.039988553624079666,0.1685016076897506,0.550907037100457,0.6457970505274119,0.050993795921216355,0.005905059342487352,59.13025694521024,0.5585910057099468,1.9597198741084865,1.9597198741084865,0.18685082769730027,1.0290696059700568
44587.59329990185,6813.846266177725,4002.3413645186943,10641.63574956297,20408.03254458143,0.5157410571785613,0.07881520433574127,0.04629475631578664,0.12309093327091193,0.23605804889899903,0.6332864686472042,0.07227821637882528,0.0013229169994042182,309.9316927670949,0.5852017740361818,1.1986866752060514,1.1986866752060514,0.14174828089617772,0.9585070654066989
9842.106691956938,2169.980276702197,4163.600247901872,8428.911032038792,16442.10103831418,0.23977827359908283,0.05286613331644925,0.10143568959829277,0.205349301611835,0.4005706018743401,0.6447158798612393,0.051860418562686604,0.00435226400182384,84.81166795619627,0.6555296360212292,1.8670975474723304,1.8670975474723304,0.20530460076137425,0.8548020247895709
5840.227983152024,2655.555905419894,3523.3701363460964,6876.221935847559,19475.935743114023,0.1522029798778429,0.06920680548826272,0.09182303079802873,0.17920215990824015,0.5075650239276255,0.6426203946153349,0.05161356459252856,0.005767586040051145,65.96599200488376,0.6205340067258922,1.9932844499660733,1.9932844499660733,0.2000863942262654,0.8721992293031543
1966.7118252724056,3645.8628694683857,2659.752396042798,8993.592322125221,20854.823634002052,0.05159164455037502,0.09563986895485843,0.06977178783660494,0.23592384626547885,0.5470728523926827,0.6401179497704479,0.06076162471618281,0.007402451683853622,60.917145178479245,0.5616382737305656,2.0992734287355064,2.0992734287355064,0.21192109844354987,0.6807852480061422
3892.2728701642113,2373.0456224675295,2948.209183066552,7776.886102196018,15712.182764233938,0.1190203005791939,0.07256444054558532,0.0901521437072619,0.23780638005846574,0.4804567351094931,0.6421098382826886,0.053385295535893086,0.006105298467494823,68.02438073751836,0.6226876325587289,2.01636938928046,2.01636938928046,0.21828761037594255,0.7944188994336229
12125.915189447078,2876.154049418775,4392.342999203957,12127.423642062868,19270.5600822368,0.23873485311523393,0.05662568175656901,0.08647638915199254,0.238764551509791,0.37939852446641353,0.6441838137198849,0.05168283198028178,0.003889043606023162,108.68423926960091,0.6575055384147277,1.8105134228000734,1.8105134228000734,0.22581440738099032,0.6770524579022569
10586.677559586682,2690.503240394884,2189.1207012336367,9616.300605415883,19250.28111559062,0.23879966269101457,0.06068865918123454,0.049379163774675223,0.2169112384866443,0.43422127586643144,0.6447158798612393,0.05760978932156538,0.0048409749426173605,83.84260539014333,0.616416311388005,1.9235119579326643,1.9235119579326643,0.20556038382054784,0.8955496044149072
6008.242615575725,2838.6511817841983,3124.455835175191,6784.4244729025495,16758.063755678053,0.16918032455608467,0.07993084816361827,0.08797854648641548,0.1910360828766088,0.47187419791727275,0.6441838137198849,0.05159429416812677,0.005428308628003378,65.89662206561779,0.6416013274445856,1.9613697359540025,1.9613697359540025,0.20447002374677334,0.8490573644346898
